codigo;grupo;dia;inicio;fin;modalidad;profesor
CE1101;1;MAR;07:30;09:20;Semipresencial;SCHMIDT PERALTA JEFF
CE1101;1;JUE;07:30;09:20;Semipresencial;SCHMIDT PERALTA JEFF
CE1101;2;MAR;09:30;11:20;Semipresencial;SCHMIDT PERALTA JEFF
CE1101;2;JUE;09:30;11:20;Semipresencial;SCHMIDT PERALTA JEFF
CE1103;1;MIE;17:00;18:50;Semipresencial;RAMIREZ TREJOS ELLIOTH
CE1103;1;VIE;17:00;18:50;Semipresencial;RAMIREZ TREJOS ELLIOTH
CE1103;2;MAR;15:00;16:50;Semipresencial;GAMBOA RAMIREZ SANTIAGO
CE1103;2;JUE;15:00;16:50;Semipresencial;GAMBOA RAMIREZ SANTIAGO
CE1103;3;MAR;09:30;11:20;Semipresencial;BARBOZA ARTAVIA LUIS
CE1103;3;JUE;09:30;11:20;Semipresencial;BARBOZA ARTAVIA LUIS
CE1104;1;MAR;07:30;09:20;Regular;VILLEGAS LEMUS MILTON
CE1104;1;JUE;07:30;09:20;Regular;VILLEGAS LEMUS MILTON
CE1105;1;MAR;17:00;18:50;Semipresencial;MORA ROJAS DIEGO
CE1105;1;JUE;17:00;18:50;Semipresencial;MORA ROJAS DIEGO
CE1105;2;MIE;17:00;18:50;Semipresencial;RIVERA MENESES MARCO
CE1105;2;VIE;17:00;18:50;Semipresencial;RIVERA MENESES MARCO
CE1105;3;MAR;19:00;20:50;Semipresencial;HERNANDEZ VASQUEZ MARCO
CE1105;3;JUE;19:00;20:50;Semipresencial;HERNANDEZ VASQUEZ MARCO
CE1106;1;MIE;09:30;11:20;Semipresencial;BARBOZA ARTAVIA LUIS
CE1106;1;VIE;09:30;11:20;Semipresencial;BARBOZA ARTAVIA LUIS
CE1106;2;MAR;17:00;18:50;Semipresencial;GAMBOA RAMIREZ SANTIAGO
CE1106;2;JUE;17:00;18:50;Semipresencial;GAMBOA RAMIREZ SANTIAGO
