codigo;nombre;creditos;horas;semestre;requisitos;correquisitos;tipo
CI0205;Prueba avanzada inglés;0;0;0;;;EXAMEN
MA0101;Matemática general;2;5;0;;;CURSO
CE1101;Introducción a la programación;3;9;1;;;CURSO
CE1104;Fundamentos de sistemas computacionales;3;9;1;;CE1101;CURSO
MA1102;Cálculo diferencial e integral;4;5;1;MA0101;;CURSO
MA1403;Matemática discreta;4;4;1;;;CURSO
QU1102;Laboratorio de química básica I;1;2;1;;QU1106;CURSO
QU1106;Química básica I;3;4;1;;QU1102;CURSO
SE1100;Actividad cultural I;0;2;1;;;COMODIN
SE1200;Actividad deportiva I;0;2;1;;;COMODIN
CE1103;Algoritmos y estructuras de datos I;4;12;2;CE1101,CE1104,MA1403;;CURSO
CE1105;Principios de modelado en ingeniería;3;9;2;CE1104;;CURSO
CI1407;Habilidades de comunicación en ingeniería;2;6;2;;;CURSO
CS1502;Introducción a la técnica ciencia y tecnología;1;2;2;;;CURSO
FI1101;Física general I;3;4;2;MA1102;;CURSO
FI1201;Laboratorio física general I;1;2;2;;FI1101;CURSO
MA1103;Cálculo y álgebra lineal;4;4;2;MA1102;;CURSO
SE1400;Actividad cultural-deportiva;0;2;2;;;COMODIN
CE2103;Algoritmos y estructuras de datos II;4;12;3;CE1103,CE1105;;CURSO
CS2101;Ambiente humano;2;6;3;;;CURSO
EL2113;Circuitos eléctricos en corriente continua;4;4;3;FI1101,MA1102;;CURSO
FH1000;Centros de formación humanística;0;2;3;;;COMODIN
FI1102;Física general II;3;4;3;FI1101;MA1102;CURSO
FI1202;Laboratorio física general II;1;2;3;FI1201;FI1102;CURSO
MA2104;Cálculo superior;4;4;3;MA1103;;CURSO
CE1106;Paradigmas de programación;3;9;4;CE2103;;CURSO
CE2201;Laboratorio de circuitos eléctricos;1;3;4;FI1202;;CURSO
EL2114;Circuitos eléctricos en corriente alterna;4;4;4;EL2113;EL2207;CURSO
EL2207;Elementos activos;4;4;4;EL2113;;CURSO
PI2609;Probabilidad y estadística;2;3;4;MA2104;;CURSO
SO4604;Seguridad y salud ocupacional;3;3;4;FI1102;;CURSO
