codigo_plan;codigo_opcion;nombre_opcion;categoria
SE1100;SE1101;Artes dramáticas;CULTURAL
SE1100;SE1102;Acción social;CULTURAL
SE1100;SE1103;Danza;CULTURAL
SE1100;SE1104;Artes visuales;CULTURAL
SE1100;SE1105;Artes musicales;CULTURAL
SE1100;SE1106;Apreciación literaria;CULTURAL
SE1100;SE1107;Apreciación de cine;CULTURAL
SE1100;SE1109;Dinámica de la cultura;CULTURAL
SE1200;SE1201;Atletismo;DEPORTIVA
SE1200;SE1204;Natación;DEPORTIVA
SE1200;SE1205;Juegos y deportes en conjunto;DEPORTIVA
SE1200;SE1206;Acondicionamiento físico;DEPORTIVA
SE1200;SE1209;Béisbol-softbol;DEPORTIVA
SE1200;SE1218;Ajedrez;DEPORTIVA
SE1200;SE1219;Baloncesto recreativo;DEPORTIVA
SE1200;SE1221;Futbol I;DEPORTIVA
SE1200;SE1222;Futbol sala;DEPORTIVA
SE1400;SE1101;Artes dramáticas;CULTURAL
SE1400;SE1102;Acción social;CULTURAL
SE1400;SE1103;Danza;CULTURAL
SE1400;SE1104;Artes visuales;CULTURAL
SE1400;SE1105;Artes musicales;CULTURAL
SE1400;SE1106;Apreciación literaria;CULTURAL
SE1400;SE1107;Apreciación de cine;CULTURAL
SE1400;SE1109;Dinámica de la cultura;CULTURAL
SE1400;SE1201;Atletismo;DEPORTIVA
SE1400;SE1204;Natación;DEPORTIVA
SE1400;SE1205;Juegos y deportes en conjunto;DEPORTIVA
SE1400;SE1206;Acondicionamiento físico;DEPORTIVA
SE1400;SE1209;Béisbol-softbol;DEPORTIVA
SE1400;SE1218;Ajedrez;DEPORTIVA
SE1400;SE1219;Baloncesto recreativo;DEPORTIVA
SE1400;SE1221;Futbol I;DEPORTIVA
SE1400;SE1222;Futbol sala;DEPORTIVA
